portfolio_id,portfolio_name,portfolio_type,layer,era,month,first_trade_date,boundary_date,ledger_effective_date,expanded_switch_date,boundary_source,ledger_verified
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2020_2024,2022-12-01,2022-12-01,2022-12-02,2022-12-01,2022-12-02,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2020_2024,2023-01-01,2023-01-03,2023-01-04,2023-01-03,2023-01-04,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2020_2024,2023-02-01,2023-02-01,2023-02-02,2023-02-01,2023-02-02,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2020_2024,2023-03-01,2023-03-01,2023-03-02,2023-03-01,2023-03-02,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2020_2024,2023-04-01,2023-04-03,2023-04-04,2023-04-03,2023-04-04,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2020_2024,2023-05-01,2023-05-01,2023-05-02,2023-05-01,2023-05-02,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2020_2024,2023-06-01,2023-06-01,2023-06-02,2023-06-01,2023-06-02,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2020_2024,2023-07-01,2023-07-03,2023-07-05,2023-07-03,2023-07-05,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2020_2024,2023-08-01,2023-08-01,2023-08-02,2023-08-01,2023-08-02,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2020_2024,2023-09-01,2023-09-01,2023-09-05,2023-09-01,2023-09-05,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2020_2024,2023-10-01,2023-10-02,2023-10-03,2023-10-02,2023-10-03,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2020_2024,2023-11-01,2023-11-01,2023-11-02,2023-11-01,2023-11-02,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2020_2024,2023-12-01,2023-12-01,2023-12-04,2023-12-01,2023-12-04,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2020_2024,2024-01-01,2024-01-02,2024-01-03,2024-01-02,2024-01-03,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2020_2024,2024-03-01,2024-03-01,2024-03-04,2024-03-01,2024-03-04,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2020_2024,2024-04-01,2024-04-01,2024-04-02,2024-04-01,2024-04-02,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2020_2024,2024-05-01,2024-05-01,2024-05-02,2024-05-01,2024-05-02,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2020_2024,2024-06-01,2024-06-03,2024-06-04,2024-06-03,2024-06-04,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2020_2024,2024-07-01,2024-07-01,2024-07-02,2024-07-01,2024-07-02,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2020_2024,2024-08-01,2024-08-01,2024-08-02,2024-08-01,2024-08-02,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2020_2024,2024-09-01,2024-09-03,2024-09-04,2024-09-03,2024-09-04,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2020_2024,2024-10-01,2024-10-01,2024-10-02,2024-10-01,2024-10-02,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2020_2024,2024-11-01,2024-11-01,2024-11-04,2024-11-01,2024-11-04,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2020_2024,2024-12-01,2024-12-02,2024-12-03,2024-12-02,2024-12-03,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2025_plus,2025-01-01,2025-01-02,2025-01-03,2025-01-02,2025-01-03,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2025_plus,2025-02-01,2025-02-03,2025-02-04,2025-02-03,2025-02-04,expanded_fallback,f
42f10df9-fae4-4fbb-9761-44841987e615,New Fund of Funds_copy_copy,fof,other,2025_plus,2025-03-01,2025-03-03,2025-03-04,2025-03-03,2025-03-04,expanded_fallback,f
