name,year_month,month_type,root_cause,signal_mismatch,return_mismatch,prod_signal,gs_signal,prod_return,gs_return,diff_return
シン白虎-鉄壁,2019-09,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,GLD,TECL,-0.0475303468,0.0774978322964654,0.1250281790964654
シン白虎-鉄壁,2023-10,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,TQQQ,GLD,-0.0748527563,0.0803619119891525,0.1552146682891525
シン白虎-鉄壁,2023-11,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,TQQQ,GLD,0.317878844,0.0266434331951128,0.2912354108048872
シン白虎-鉄壁,2023-12,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,TQQQ,GLD,0.1397250597,0.0139293730036531,0.1257956866963469
シン青龍-常勝,2013-07,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,XLU,"TQQQ,TECL",0.045986519,0.1505314825839352,0.1045449635839352
シン青龍-常勝,2021-06,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,XLU,"TQQQ,TECL",-0.0224771334,0.1858523429135826,0.20832947631358262
シン青龍-常勝,2021-11,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,XLU,"TQQQ,TECL",-0.0101659928,0.1251173055325911,0.1352832983325911
シン青龍-常勝,2023-05,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,XLU,"TQQQ,TECL",-0.0547805445,0.2451871805571724,0.2999677250571724
シン青龍-常勝,2023-10,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,XLU,"TQQQ,TECL",0.0201399391,-0.0436865428967131,0.0638264819967131
シン青龍-常勝,2024-04,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,"TECL,TQQQ",XLU,-0.1773656842,0.0162960757017942,0.1936617599017942
シン青龍-激攻,2013-07,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,XLU,TQQQ,0.045986519,0.1967934937644651,0.15080697476446508
シン青龍-激攻,2014-09,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,TQQQ,TECL,-0.0427170383,-0.0331653804113929,0.009551657888607103
シン青龍-激攻,2017-05,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,TQQQ,TECL,0.1106952629,0.1152929202466259,0.0045976573466259
シン青龍-激攻,2021-06,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,XLU,TQQQ,-0.0224771334,0.175541688089865,0.198018821489865
シン青龍-激攻,2021-11,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,XLU,TECL,-0.0101659928,0.1664091118091508,0.1765751046091508
シン青龍-激攻,2023-05,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,XLU,TECL,-0.0547805445,0.255832823690022,0.31061336819002205
シン青龍-激攻,2023-10,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,XLU,TECL,0.0201399391,-0.0125203410074127,0.032660280107412704
シン青龍-激攻,2024-04,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,TECL,XLU,-0.1969472079,0.0162960757017942,0.2132432836017942
シン青龍-激攻,2025-12,complete,RC3_DAILY_VS_MONTHLY_SIGNAL,YES,YES,TQQQ,TECL,0.0215555848,0.0705111843132533,0.0489555995132533
シン青龍-鉄壁,2013-07,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,XLU,"TQQQ,TECL",0.045986519,0.1505314825839352,0.1045449635839352
シン青龍-鉄壁,2015-11,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,XLU,"TQQQ,TECL",-0.018298284,0.0218846617384269,0.0401829457384269
シン青龍-鉄壁,2021-11,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,"TECL,TQQQ",XLU,0.1251170654,-0.0101659275341463,0.1352829929341463
シン青龍-鉄壁,2024-07,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,"TECL,TQQQ",XLU,-0.1064507878,0.0592591697258892,0.1657099575258892
シン青龍-鉄壁,2025-06,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,XLU,"TQQQ,TECL",0.0076838004,0.2495749115949125,0.2418911111949125
シン青龍-鉄壁,2025-09,complete,RC2_FOF_RESOLUTION_DIFF,YES,YES,XLU,"TQQQ,TECL",0.0472402765,0.2399200683418474,0.19267979184184741
旧四神・青龍,2026-03,MTD,RC4_MTD_RETURN_ONLY,NO,YES,,,0.0052675939,-0.0030552141,0.008322808000000001
